course_id	course_block	course_title	lesson_id	lesson_title	lesson_count	record_count
course_b_0	Тайский без паники	Тайский без паники	course_b_0_l1	Как устроен язык	3	7
course_b_0	Тайский без паники	Тайский без паники	course_b_0_l2	Как работают тоны	3	9
course_b_0	Тайский без паники	Тайский без паники	course_b_0_l3	Как думают тайцы	3	8
course_b_1	Разговорный старт	Разговорный старт	course_b_1_l1	Приветствие	7	7
course_b_1	Разговорный старт	Разговорный старт	course_b_1_l2	Знакомство	7	6
course_b_1	Разговорный старт	Разговорный старт	course_b_1_l3	Как дела?	7	8
course_b_1	Разговорный старт	Разговорный старт	course_b_1_l4	Просьбы	7	8
course_b_1	Разговорный старт	Разговорный старт	course_b_1_l5	Где тут?	7	8
course_b_1	Разговорный старт	Разговорный старт	course_b_1_l6	Цена	7	8
course_b_1	Разговорный старт	Разговорный старт	course_b_1_l7	Спасибо и извини	7	6
course_b_2	Магия интонации	Магия интонации	course_b_2_l1	Три тона на примерах	6	8
course_b_2	Магия интонации	Магия интонации	course_b_2_l2	Падение и подъём	6	8
course_b_2	Магия интонации	Магия интонации	course_b_2_l3	Эмоции тоном	6	8
course_b_2	Магия интонации	Магия интонации	course_b_2_l4	Быстрая речь	6	8
course_b_2	Магия интонации	Магия интонации	course_b_2_l5	Хвостики на и ной	6	7
course_b_2	Магия интонации	Магия интонации	course_b_2_l6	В 7-Eleven говорят так	6	9
course_b_3	Я, ты, он, семья	Я, ты, он, семья	course_b_3_l1	Я и ты	7	6
course_b_3	Я, ты, он, семья	Я, ты, он, семья	course_b_3_l2	Он, она, они	7	8
course_b_3	Я, ты, он, семья	Я, ты, он, семья	course_b_3_l3	Семья	7	9
course_b_3	Я, ты, он, семья	Я, ты, он, семья	course_b_3_l4	Возраст и профессия	7	9
course_b_3	Я, ты, он, семья	Я, ты, он, семья	course_b_3_l5	Мой, твой, его	7	9
course_b_3	Я, ты, он, семья	Я, ты, он, семья	course_b_3_l6	Мини-диалог знакомства	7	8
course_b_3	Я, ты, он, семья	Я, ты, он, семья	course_b_3_l7	Друзья и гости	7	10
course_b_4	Время, место, цифры	Время, место, цифры	course_b_4_l1	Числа 1–10	6	10
course_b_4	Время, место, цифры	Время, место, цифры	course_b_4_l2	Числа 10–100	6	10
course_b_4	Время, место, цифры	Время, место, цифры	course_b_4_l3	Который час?	6	10
course_b_4	Время, место, цифры	Время, место, цифры	course_b_4_l4	Дни недели	6	10
course_b_4	Время, место, цифры	Время, место, цифры	course_b_4_l5	Прямо, налево, 100 метров	6	9
course_b_4	Время, место, цифры	Время, место, цифры	course_b_4_l6	Сколько человек, раз	6	10
course_b_5	Главные глаголы	Главные глаголы	course_b_5_l1	Идти и приходить	7	9
course_b_5	Главные глаголы	Главные глаголы	course_b_5_l2	Хотеть и любить	7	11
course_b_5	Главные глаголы	Главные глаголы	course_b_5_l3	Говорить и понимать	7	10
course_b_5	Главные глаголы	Главные глаголы	course_b_5_l4	Есть, пить, покупать	7	12
course_b_5	Главные глаголы	Главные глаголы	course_b_5_l5	Делать и работать	7	12
course_b_5	Главные глаголы	Главные глаголы	course_b_5_l6	Спать, сидеть, давать	7	11
course_b_5	Главные глаголы	Главные глаголы	course_b_5_l7	Знать, видеть, жить	7	11
course_b_6	Вкусно, красиво, горячо	Вкусно, красиво, горячо	course_b_6_l1	Вкусно и остро	6	9
course_b_6	Вкусно, красиво, горячо	Вкусно, красиво, горячо	course_b_6_l2	Красиво и дорого	6	8
course_b_6	Вкусно, красиво, горячо	Вкусно, красиво, горячо	course_b_6_l3	Горячо и холодно	6	11
course_b_6	Вкусно, красиво, горячо	Вкусно, красиво, горячо	course_b_6_l4	Большой, маленький	6	9
course_b_6	Вкусно, красиво, горячо	Вкусно, красиво, горячо	course_b_6_l5	Хороший и плохой	6	11
