course_id,lesson_id,word,phrase,casual,tip,total_learnable
course_b_1,course_b_1_l1,0,6,2,2,8
course_b_1,course_b_1_l2,0,8,1,1,9
course_b_1,course_b_1_l3,0,8,0,2,8
course_b_1,course_b_1_l4,0,9,0,2,9
course_b_1,course_b_1_l5,3,6,0,1,9
course_b_1,course_b_1_l6,0,10,0,1,10
course_b_1,course_b_1_l7,0,8,1,1,9
course_b_1,course_b_1_l8,7,3,0,1,10
course_b_2,course_b_2_l1,4,3,1,2,8
course_b_2,course_b_2_l2,2,5,1,2,8
course_b_2,course_b_2_l3,3,4,1,2,8
course_b_2,course_b_2_l4,0,7,1,2,8
course_b_2,course_b_2_l5,1,6,1,2,8
course_b_2,course_b_2_l6,0,8,1,1,9
course_b_3,course_b_3_l1,3,4,1,2,8
course_b_3,course_b_3_l2,1,6,1,2,8
course_b_3,course_b_3_l3,3,5,1,1,9
course_b_3,course_b_3_l4,2,6,1,1,9
course_b_3,course_b_3_l5,2,6,1,1,9
course_b_3,course_b_3_l6,0,8,1,1,9
course_b_3,course_b_3_l7,2,7,1,1,10
course_b_4,course_b_4_l1,5,5,0,0,10
course_b_4,course_b_4_l2,5,5,0,1,10
course_b_4,course_b_4_l3,5,5,0,1,10
course_b_4,course_b_4_l4,5,5,0,1,10
course_b_4,course_b_4_l5,5,5,0,1,10
course_b_4,course_b_4_l6,5,5,0,1,10
course_b_5,course_b_5_l1,2,9,0,1,11
course_b_5,course_b_5_l2,2,9,0,1,11
course_b_5,course_b_5_l3,2,9,0,1,11
course_b_5,course_b_5_l4,2,10,0,1,12
course_b_5,course_b_5_l5,2,10,0,1,12
course_b_5,course_b_5_l6,2,9,0,1,11
course_b_5,course_b_5_l7,2,9,0,1,11
course_b_6,course_b_6_l1,2,9,0,1,11
course_b_6,course_b_6_l2,2,8,0,1,10
course_b_6,course_b_6_l3,2,9,0,1,11
course_b_6,course_b_6_l4,2,9,0,1,11
course_b_6,course_b_6_l5,2,9,0,1,11
course_b_6,course_b_6_l6,2,10,0,1,12
course_b_7,course_b_7_l1,0,7,0,2,7
course_b_7,course_b_7_l2,0,8,0,2,8
course_b_7,course_b_7_l3,0,8,0,1,8
course_b_7,course_b_7_l4,0,8,0,1,8
course_b_7,course_b_7_l5,0,9,0,2,9
course_b_7,course_b_7_l6,0,8,0,1,8
course_e_1,course_e_1_l1,2,6,0,1,8
course_e_1,course_e_1_l2,2,6,0,1,8
course_e_1,course_e_1_l3,2,6,0,1,8
course_e_1,course_e_1_l4,2,5,0,1,7
course_e_1,course_e_1_l5,2,5,0,1,7
course_e_1,course_e_1_l6,2,4,0,1,6
course_e_2,course_e_2_l1,2,5,0,1,7
course_e_2,course_e_2_l2,2,5,0,1,7
course_e_2,course_e_2_l3,2,4,0,1,6
course_e_2,course_e_2_l4,2,4,0,1,6
course_e_2,course_e_2_l5,2,3,0,1,5
course_e_2,course_e_2_l6,2,2,0,1,4
course_e_3,course_e_3_l1,2,4,0,1,6
course_e_3,course_e_3_l2,2,4,0,1,6
course_e_3,course_e_3_l3,2,4,0,1,6
course_e_3,course_e_3_l4,2,3,0,1,5
course_e_3,course_e_3_l5,2,3,0,1,5
course_e_3,course_e_3_l6,2,2,0,1,4
course_e_4,course_e_4_l1,2,3,0,1,5
course_e_4,course_e_4_l2,2,3,0,1,5
course_e_4,course_e_4_l3,2,3,0,1,5
course_e_4,course_e_4_l4,2,3,0,1,5
course_e_4,course_e_4_l5,2,3,0,1,5
course_e_4,course_e_4_l6,2,2,0,1,4
course_e_5,course_e_5_l1,2,3,0,1,5
course_e_5,course_e_5_l2,2,3,0,1,5
course_e_5,course_e_5_l3,2,3,0,1,5
course_e_5,course_e_5_l4,2,3,0,1,5
course_e_5,course_e_5_l5,2,2,0,1,4
course_e_5,course_e_5_l6,2,2,0,1,4
course_e_6,course_e_6_l1,2,4,0,1,6
course_e_6,course_e_6_l2,2,4,0,1,6
course_e_6,course_e_6_l3,2,4,0,1,6
course_e_6,course_e_6_l4,2,3,0,1,5
course_e_6,course_e_6_l5,2,2,0,1,4
course_e_6,course_e_6_l6,2,2,0,1,4
course_l_1,course_l_1_l1,3,5,0,2,8
course_l_1,course_l_1_l2,1,7,0,2,8
course_l_1,course_l_1_l3,0,8,0,2,8
course_l_1,course_l_1_l4,0,7,1,2,8
course_l_1,course_l_1_l5,0,8,0,2,8
course_l_1,course_l_1_l6,0,8,0,2,8
course_l_1,course_l_1_l7,0,8,0,2,8
course_l_10,course_l_10_l1,2,7,0,1,9
course_l_10,course_l_10_l2,2,7,0,1,9
course_l_10,course_l_10_l3,2,6,0,1,8
course_l_10,course_l_10_l4,2,6,0,1,8
course_l_10,course_l_10_l5,2,6,0,1,8
course_l_10,course_l_10_l6,2,6,0,1,8
course_l_10,course_l_10_l7,2,6,0,1,8
course_l_11,course_l_11_l1,2,6,0,1,8
course_l_11,course_l_11_l2,2,6,0,1,8
course_l_11,course_l_11_l3,2,6,0,1,8
course_l_11,course_l_11_l4,2,6,0,1,8
course_l_11,course_l_11_l5,2,6,0,1,8
course_l_11,course_l_11_l6,2,6,0,1,8
course_l_11,course_l_11_l7,2,6,0,1,8
course_l_12,course_l_12_l1,2,6,0,1,8
course_l_12,course_l_12_l2,2,6,0,1,8
course_l_12,course_l_12_l3,2,6,0,1,8
course_l_12,course_l_12_l4,2,6,0,1,8
course_l_12,course_l_12_l5,2,6,0,1,8
course_l_12,course_l_12_l6,2,6,0,1,8
course_l_13,course_l_13_l1,2,6,0,1,8
course_l_13,course_l_13_l2,2,6,0,1,8
course_l_13,course_l_13_l3,2,6,0,1,8
course_l_13,course_l_13_l4,2,6,0,1,8
course_l_13,course_l_13_l5,2,6,0,1,8
course_l_13,course_l_13_l6,2,6,0,1,8
course_l_13,course_l_13_l7,2,6,0,1,8
course_l_14,course_l_14_l1,2,6,0,1,8
course_l_14,course_l_14_l2,2,6,0,1,8
course_l_14,course_l_14_l3,2,6,0,1,8
course_l_14,course_l_14_l4,2,6,0,1,8
course_l_14,course_l_14_l5,2,6,0,1,8
course_l_14,course_l_14_l6,2,6,0,1,8
course_l_14,course_l_14_l7,2,6,0,1,8
course_l_15,course_l_15_l1,2,6,0,1,8
course_l_15,course_l_15_l2,2,6,0,1,8
course_l_15,course_l_15_l3,2,6,0,1,8
course_l_15,course_l_15_l4,2,6,0,1,8
course_l_15,course_l_15_l5,2,6,0,1,8
course_l_15,course_l_15_l6,2,6,0,1,8
course_l_15,course_l_15_l7,2,6,0,1,8
course_l_2,course_l_2_l1,1,7,0,2,8
course_l_2,course_l_2_l2,0,8,0,2,8
course_l_2,course_l_2_l3,0,8,0,2,8
course_l_2,course_l_2_l4,0,8,0,2,8
course_l_2,course_l_2_l5,0,8,0,2,8
course_l_2,course_l_2_l6,0,8,0,2,8
course_l_2,course_l_2_l7,0,8,0,2,8
course_l_3,course_l_3_l1,2,6,0,1,8
course_l_3,course_l_3_l2,2,6,0,1,8
course_l_3,course_l_3_l3,2,6,0,1,8
course_l_3,course_l_3_l4,2,6,0,1,8
course_l_3,course_l_3_l5,2,10,0,0,12
course_l_3,course_l_3_l6,2,6,0,1,8
